python,java,sql,machine_learning,web_development,cloud,cybersecurity,communication,aptitude,projects,career
8,2,10,6,3,3,3,5,5,2,Data Scientist
6,8,7,4,7,3,4,7,6,4,Software Developer
2,4,8,5,5,7,10,6,5,1,Cybersecurity Analyst
5,5,6,2,4,9,7,6,5,5,Cloud Engineer
2,2,5,5,4,8,8,5,6,4,Cloud Engineer
8,3,9,5,3,3,1,7,5,4,Data Analyst
3,2,8,5,4,10,3,9,7,4,Cloud Engineer
9,4,9,6,2,4,2,6,5,1,Data Analyst
2,4,5,4,1,10,3,10,8,4,Cloud Engineer
7,4,6,10,3,8,5,7,9,2,Machine Learning Engineer
6,2,10,3,3,4,2,7,8,5,Data Analyst
8,3,7,10,1,6,1,8,6,2,Machine Learning Engineer
8,5,10,5,3,4,3,5,7,6,Data Analyst
10,3,7,9,1,3,4,9,8,5,Data Scientist
2,5,5,1,1,7,10,8,10,4,Cybersecurity Analyst
8,2,7,8,1,6,1,10,7,5,Data Scientist
7,6,8,10,5,7,2,6,7,2,Machine Learning Engineer
4,5,7,5,3,9,6,9,5,2,Cloud Engineer
9,2,10,9,1,3,5,8,7,6,Machine Learning Engineer
9,1,10,6,5,3,2,7,7,3,Data Analyst
8,1,8,3,5,3,2,5,8,5,Data Analyst
6,7,7,5,9,5,1,9,5,1,Web Developer
8,2,7,10,1,8,1,5,8,4,AI Engineer
5,7,5,4,4,9,3,6,8,6,Cloud Engineer
8,5,8,8,5,8,5,8,6,6,AI Engineer
8,2,7,10,4,4,4,6,7,4,Machine Learning Engineer
2,3,8,2,3,3,9,10,5,3,Cybersecurity Analyst
2,3,5,2,9,5,5,8,6,3,Web Developer
6,7,6,6,5,2,3,5,10,4,Software Developer
8,4,9,9,5,5,3,9,8,2,AI Engineer
9,5,10,8,5,5,1,6,7,1,Machine Learning Engineer
7,4,10,7,2,5,3,8,8,6,Data Analyst
4,7,8,2,4,2,1,5,6,2,Software Developer
6,6,7,3,10,5,1,5,10,2,Web Developer
5,3,9,5,5,6,2,10,5,5,Data Analyst
4,3,4,3,1,4,8,8,9,1,Cybersecurity Analyst
4,5,7,2,2,4,10,7,7,4,Cybersecurity Analyst
8,3,9,9,5,2,2,10,8,3,Data Scientist
3,2,8,2,2,8,8,8,8,6,Cybersecurity Analyst
6,2,7,5,2,3,10,8,5,4,Cybersecurity Analyst
4,2,8,3,1,8,3,9,9,4,Cloud Engineer
5,3,9,4,5,2,2,6,7,2,Data Analyst
6,3,5,5,1,3,10,10,10,5,Cybersecurity Analyst
7,1,10,5,1,2,4,7,8,5,Data Analyst
9,3,7,8,5,2,3,8,8,1,Data Scientist
9,3,9,6,2,3,2,10,7,5,Data Analyst
9,5,10,8,1,3,4,9,5,1,Data Scientist
5,6,6,5,2,10,5,8,6,5,Cloud Engineer
6,6,7,5,2,8,3,6,10,2,Cloud Engineer
4,2,4,3,3,6,10,9,9,1,Cybersecurity Analyst
9,4,10,9,2,5,1,6,9,5,Data Scientist
8,1,9,10,1,4,1,8,7,4,AI Engineer
9,5,8,5,4,3,4,7,8,3,Data Analyst
7,3,9,8,1,5,1,10,9,4,Data Scientist
4,4,7,5,9,2,1,6,7,4,Web Developer
3,2,6,5,9,3,5,9,5,2,Web Developer
7,4,9,7,1,5,3,9,7,6,Data Scientist
8,5,10,9,4,7,1,7,7,2,Machine Learning Engineer
10,4,10,9,3,3,1,7,8,1,Data Scientist
3,3,6,1,9,2,3,8,8,4,Web Developer
5,3,9,6,1,6,2,6,5,5,Data Analyst
10,1,5,8,1,8,5,7,10,2,AI Engineer
3,5,8,3,4,6,10,5,9,3,Cybersecurity Analyst
4,2,8,4,5,4,10,5,10,3,Cybersecurity Analyst
7,5,7,10,2,4,4,8,7,6,Machine Learning Engineer
4,5,8,5,5,7,10,10,10,1,Cybersecurity Analyst
8,3,6,8,3,5,2,8,9,6,Machine Learning Engineer
5,4,5,1,8,2,1,9,10,4,Web Developer
10,2,9,8,1,6,3,10,5,5,AI Engineer
3,8,9,6,4,6,1,10,8,6,Software Developer
6,6,8,3,1,5,8,9,10,1,Cybersecurity Analyst
5,6,5,2,4,9,5,8,7,2,Cloud Engineer
5,7,4,3,1,8,3,8,6,3,Cloud Engineer
10,3,6,9,2,8,5,6,8,3,AI Engineer
10,5,6,10,4,4,2,7,7,3,AI Engineer
6,5,4,2,9,5,2,9,9,6,Web Developer
7,1,8,7,5,2,1,7,8,6,Data Scientist
4,5,8,5,1,4,8,9,8,5,Cybersecurity Analyst
9,3,9,7,5,4,1,5,9,4,Data Analyst
4,7,7,5,5,9,4,7,8,6,Cloud Engineer
5,7,5,1,8,4,5,5,10,5,Web Developer
7,5,9,6,2,4,3,7,7,1,Data Scientist
8,1,9,8,1,4,2,8,9,5,Data Scientist
5,4,7,4,4,10,3,7,5,2,Cloud Engineer
5,1,9,3,3,2,4,5,6,6,Data Analyst
4,6,6,4,1,8,10,8,10,2,Cybersecurity Analyst
3,7,7,4,4,5,5,8,7,5,Software Developer
5,3,8,5,8,2,2,9,8,4,Web Developer
7,10,9,6,3,6,1,7,9,3,Software Developer
10,4,8,7,1,7,4,5,7,2,Data Scientist
9,2,7,6,3,5,1,9,7,6,Data Scientist
5,6,5,2,3,6,10,9,7,3,Cybersecurity Analyst
9,3,8,9,1,2,1,5,8,1,Data Scientist
8,4,9,4,3,3,3,9,6,6,Data Analyst
9,4,8,8,4,3,1,6,5,4,Data Scientist
10,5,8,10,4,3,1,9,9,4,AI Engineer
9,2,8,9,3,3,1,5,7,4,AI Engineer
2,4,5,2,9,6,5,7,10,3,Web Developer
7,5,10,8,2,6,3,6,10,2,Data Scientist
8,1,9,6,5,6,1,8,8,1,Data Scientist
8,3,5,9,4,8,5,7,6,5,AI Engineer
3,2,7,3,10,3,3,10,5,1,Web Developer
10,3,5,10,3,5,5,6,6,2,AI Engineer
5,2,7,3,10,3,1,10,8,3,Web Developer
7,2,8,6,5,2,4,10,6,6,Data Analyst
8,1,7,8,4,2,1,6,9,2,Data Scientist
4,2,7,1,9,6,4,6,5,1,Web Developer
6,4,8,4,5,8,8,10,10,6,Cybersecurity Analyst
6,6,8,1,2,6,9,8,6,2,Cybersecurity Analyst
7,5,8,3,1,2,4,5,9,1,Data Analyst
10,1,6,8,4,5,3,9,7,2,AI Engineer
5,5,10,4,5,2,1,5,9,2,Data Analyst
2,3,8,1,1,8,8,9,8,2,Cybersecurity Analyst
8,3,8,5,3,3,4,5,8,2,Data Analyst
5,4,5,2,3,5,10,6,6,3,Cybersecurity Analyst
4,10,5,2,3,3,5,6,5,5,Software Developer
9,4,9,3,1,4,3,8,8,5,Data Analyst
4,7,8,3,5,10,5,7,8,2,Cloud Engineer
10,1,8,9,1,7,2,5,7,4,AI Engineer
7,4,10,7,5,5,4,7,9,2,Data Analyst
3,7,6,1,9,6,2,5,10,1,Web Developer
2,3,5,4,8,3,5,10,10,4,Web Developer
9,1,10,6,5,5,1,10,6,4,Data Scientist
10,5,8,9,3,4,3,5,7,6,AI Engineer
5,3,8,2,5,4,9,8,5,3,Cybersecurity Analyst
2,3,7,1,4,8,8,7,9,6,Cybersecurity Analyst
3,9,7,3,3,5,4,9,10,5,Software Developer
8,3,8,10,3,8,4,6,6,5,AI Engineer
2,5,8,5,1,5,8,5,7,2,Cybersecurity Analyst
8,10,9,4,7,5,5,8,9,1,Software Developer
3,6,6,3,10,2,1,8,9,4,Web Developer
9,2,10,3,3,6,1,7,8,1,Data Analyst
8,7,6,6,3,2,1,6,5,4,Software Developer
8,2,8,9,2,5,2,10,5,1,AI Engineer
4,6,4,1,4,6,9,7,6,3,Cybersecurity Analyst
10,3,7,9,4,3,3,8,8,5,AI Engineer
4,10,6,2,5,2,1,8,5,2,Software Developer
5,8,6,3,7,4,3,9,5,6,Software Developer
10,3,5,10,4,5,5,9,6,6,AI Engineer
7,2,8,5,2,2,2,10,8,2,Data Analyst
5,2,6,3,2,8,10,5,5,1,Cybersecurity Analyst
5,3,7,2,10,4,1,8,5,6,Web Developer
5,7,6,5,6,2,2,8,10,5,Software Developer
5,7,8,3,2,8,4,9,7,2,Cloud Engineer
4,5,4,5,3,4,8,7,8,6,Cybersecurity Analyst
6,5,10,6,3,2,4,5,6,6,Data Analyst
7,4,8,6,2,3,1,6,5,6,Data Analyst
5,3,8,3,2,5,4,8,7,4,Data Analyst
5,3,7,5,1,7,10,7,5,6,Cybersecurity Analyst
6,2,4,3,1,8,10,5,7,4,Cybersecurity Analyst
4,3,5,1,2,4,8,9,9,3,Cybersecurity Analyst
6,4,8,5,1,4,10,10,7,3,Cybersecurity Analyst
2,2,7,2,5,8,6,7,9,3,Cloud Engineer
5,6,6,5,2,10,7,6,9,5,Cloud Engineer
8,1,7,9,1,8,5,10,6,2,Machine Learning Engineer
9,5,6,8,5,8,4,8,9,3,AI Engineer
7,5,8,8,3,7,2,6,5,2,Data Scientist
4,7,4,5,4,9,4,9,6,6,Cloud Engineer
7,4,10,10,1,3,5,6,9,3,Machine Learning Engineer
3,2,5,5,3,10,7,10,10,6,Cloud Engineer
9,1,9,8,2,3,3,8,6,2,Data Scientist
4,5,5,4,3,7,8,10,9,2,Cybersecurity Analyst
3,3,6,3,5,5,9,10,5,3,Cybersecurity Analyst
2,3,6,1,3,6,10,9,6,5,Cybersecurity Analyst
8,4,8,4,5,2,2,10,8,5,Data Analyst
9,6,9,8,2,5,5,10,6,4,Machine Learning Engineer
3,2,6,3,5,9,6,6,6,6,Cloud Engineer
9,5,9,9,2,7,4,7,6,1,AI Engineer
6,2,4,5,5,8,3,7,9,2,Cloud Engineer
5,5,4,4,9,2,1,7,10,3,Web Developer
4,2,7,4,1,10,4,8,7,3,Cloud Engineer
7,3,10,5,4,4,1,9,5,5,Data Analyst
8,5,9,8,2,8,5,10,9,3,AI Engineer
8,10,9,2,4,6,3,9,6,6,Software Developer
8,8,6,5,3,2,3,5,7,3,Software Developer
6,5,5,5,1,5,10,7,10,1,Cybersecurity Analyst
9,4,7,8,4,3,5,9,6,3,AI Engineer
10,1,8,9,5,5,1,10,8,5,Machine Learning Engineer
3,6,8,2,2,5,10,10,9,2,Cybersecurity Analyst
7,2,8,7,3,6,3,5,10,4,Data Analyst
6,4,5,5,5,6,9,7,9,3,Cybersecurity Analyst
4,5,6,5,4,10,4,9,5,6,Cloud Engineer
10,3,10,10,4,6,1,9,5,4,Machine Learning Engineer
4,7,4,3,2,9,3,5,5,4,Cloud Engineer
2,2,6,5,9,6,2,9,5,4,Web Developer
3,6,5,3,4,10,5,10,6,3,Cloud Engineer
7,3,8,10,5,6,5,7,5,1,Machine Learning Engineer
8,1,10,8,2,6,1,9,6,5,Machine Learning Engineer
9,1,7,10,5,5,4,9,6,5,AI Engineer
8,5,8,6,5,3,2,6,7,2,Data Scientist
8,1,9,10,1,3,5,5,5,2,Machine Learning Engineer
7,1,9,3,2,5,4,10,7,6,Data Analyst
8,3,9,9,2,5,3,10,6,6,AI Engineer
4,5,8,5,9,2,3,9,6,2,Web Developer
4,9,7,5,4,2,5,9,9,2,Software Developer
10,2,9,9,5,5,4,10,6,6,AI Engineer
3,5,5,4,10,5,5,7,5,5,Web Developer
3,2,5,3,3,3,9,7,9,5,Cybersecurity Analyst
7,8,8,4,8,4,2,6,10,1,Software Developer
2,7,8,2,3,9,8,7,6,3,Cloud Engineer
3,4,8,1,10,3,3,8,8,4,Web Developer
10,5,8,6,5,4,4,10,5,1,Data Scientist
10,6,7,9,4,3,3,6,7,3,Machine Learning Engineer
3,5,5,4,8,4,5,6,6,1,Web Developer
2,5,5,5,5,6,10,10,7,2,Cybersecurity Analyst
9,5,8,6,4,7,3,10,8,1,Data Scientist
6,3,8,4,4,3,2,9,10,1,Data Analyst
6,6,5,5,4,9,7,10,5,5,Cloud Engineer
8,1,9,9,3,7,4,8,5,2,Machine Learning Engineer
9,5,6,10,1,8,5,7,10,3,Machine Learning Engineer
10,5,10,9,3,2,4,5,7,2,Data Scientist
9,1,6,9,2,8,3,6,10,4,Machine Learning Engineer
6,7,4,1,10,4,4,6,10,5,Web Developer
8,9,8,5,7,5,1,5,7,4,Software Developer
7,2,7,8,3,6,4,9,8,3,Data Scientist
10,4,7,10,1,3,4,6,7,6,AI Engineer
10,6,8,10,2,4,4,10,8,6,Machine Learning Engineer
6,8,6,4,4,4,1,10,7,3,Software Developer
10,4,5,8,1,5,5,5,9,5,AI Engineer
8,2,9,6,1,6,1,10,9,4,Data Analyst
8,5,8,8,4,4,5,8,8,5,AI Engineer
2,7,8,5,10,6,2,10,7,5,Web Developer
4,5,4,1,8,2,2,10,10,2,Web Developer
6,2,9,5,5,5,1,7,9,3,Data Analyst
8,4,6,9,3,3,2,6,10,1,AI Engineer
8,1,7,9,4,7,4,8,9,1,AI Engineer
10,5,9,8,2,5,1,8,8,6,Data Scientist
3,4,5,3,2,8,7,7,6,1,Cloud Engineer
4,3,4,1,9,6,5,8,6,1,Web Developer
7,4,10,3,1,3,2,9,10,1,Data Analyst
5,6,5,3,9,4,3,8,6,2,Web Developer
8,3,10,9,1,2,2,10,6,3,Data Scientist
4,5,6,4,5,10,3,8,5,6,Cloud Engineer
5,10,9,2,5,4,3,6,6,6,Software Developer
7,5,9,8,1,3,2,6,9,5,Machine Learning Engineer
9,1,9,7,4,5,1,8,8,2,Data Analyst
3,4,7,4,3,8,6,8,6,4,Cloud Engineer
7,4,8,8,4,4,3,7,7,3,Machine Learning Engineer
8,5,7,8,3,7,5,5,9,6,AI Engineer
9,2,8,9,2,8,3,8,7,1,Machine Learning Engineer
3,2,6,2,2,9,6,8,7,5,Cloud Engineer
6,6,7,5,8,2,5,10,7,5,Web Developer
4,4,7,1,8,3,1,7,7,6,Web Developer
8,9,5,2,4,6,4,10,7,4,Software Developer
9,1,7,8,5,6,5,9,9,2,Machine Learning Engineer
8,7,5,3,6,2,2,9,6,5,Software Developer
3,5,4,3,4,9,4,10,9,5,Cloud Engineer
4,8,7,2,4,6,5,9,10,5,Software Developer
9,2,8,10,3,8,2,5,10,3,AI Engineer
8,6,9,10,1,6,4,9,8,5,Machine Learning Engineer
4,10,9,5,6,2,2,6,7,6,Software Developer
5,4,8,5,2,3,10,6,8,3,Cybersecurity Analyst
6,7,7,6,4,3,3,10,6,3,Software Developer
8,5,6,10,2,3,3,9,9,5,AI Engineer
8,3,9,8,4,5,3,10,9,1,Data Scientist
5,3,9,5,3,5,1,6,10,4,Data Analyst
6,6,8,2,5,4,8,10,5,3,Cybersecurity Analyst
5,5,7,3,10,2,1,10,7,2,Web Developer
7,2,9,4,4,4,3,5,6,3,Data Analyst
6,6,4,4,2,10,8,10,7,2,Cloud Engineer
8,4,5,8,2,6,3,6,5,3,AI Engineer
3,2,5,4,4,10,3,8,10,3,Cloud Engineer
4,4,7,4,4,8,7,6,9,6,Cloud Engineer
2,2,8,3,1,7,9,10,6,3,Cybersecurity Analyst
10,4,10,9,3,3,4,10,8,3,Data Scientist
3,6,7,4,5,5,10,10,6,2,Cybersecurity Analyst
6,3,5,1,9,6,5,7,9,4,Web Developer
4,5,4,4,2,5,9,7,6,5,Cybersecurity Analyst
2,4,5,3,4,9,5,6,10,6,Cloud Engineer
10,4,9,8,2,8,1,5,8,2,Machine Learning Engineer
6,7,4,5,9,6,4,9,6,6,Web Developer
5,6,4,4,3,10,5,6,9,3,Cloud Engineer
7,4,9,3,5,6,2,7,6,1,Data Analyst
8,5,8,10,3,8,1,8,7,1,AI Engineer
8,1,8,8,5,7,2,9,6,1,Machine Learning Engineer
8,8,6,6,4,6,2,7,9,4,Software Developer
5,3,8,4,9,6,1,10,10,2,Web Developer
9,2,8,7,1,3,4,8,9,5,Data Scientist
9,2,6,10,5,6,2,9,10,1,AI Engineer
7,1,9,8,3,5,4,6,10,4,Data Scientist
8,9,9,6,4,6,2,8,9,3,Software Developer
2,4,8,3,9,4,4,10,8,5,Web Developer
3,3,6,3,9,4,2,9,9,4,Web Developer
4,10,7,3,8,3,4,9,10,4,Software Developer
5,1,9,5,2,5,1,8,8,2,Data Analyst
3,7,7,3,7,6,5,9,10,5,Software Developer
2,3,5,1,5,5,8,8,8,4,Cybersecurity Analyst
10,4,9,9,5,7,2,8,10,1,Data Scientist
5,5,4,5,5,3,8,9,7,5,Cybersecurity Analyst
9,5,8,8,1,4,5,9,5,6,Machine Learning Engineer
8,7,6,4,4,2,2,7,8,5,Software Developer
9,2,8,8,3,3,5,6,7,1,Machine Learning Engineer
3,7,4,2,8,5,5,8,9,6,Web Developer
5,9,9,2,4,5,1,7,10,2,Software Developer
10,4,8,9,4,3,1,8,9,4,AI Engineer
2,5,7,3,8,5,1,5,8,4,Web Developer
9,5,9,8,1,7,4,7,5,5,Data Scientist
6,4,6,4,4,6,8,10,5,3,Cybersecurity Analyst
8,6,8,9,3,6,5,8,5,2,Machine Learning Engineer
5,5,9,3,5,6,4,7,9,1,Data Analyst
7,3,7,10,1,8,1,5,6,2,Machine Learning Engineer
7,5,10,6,2,2,4,5,10,2,Data Scientist
10,4,6,10,5,8,2,8,6,5,AI Engineer
4,6,6,4,8,5,1,10,9,5,Web Developer
8,3,10,9,3,7,4,9,5,4,Data Scientist
